State,Name of legal aid organization,Website,Phone number,Address,City/State,Zip
Alabama,Legal Services Alabama (Montgomery),https://legalservicesalabama.org,(334) 832-4570,2567 Fairlane Dr #200,"Montgomery, AL",36116
Alabama,Legal Services (Huntsville),https://legalservicesalabama.org,(256) 536-9645,610 Airport Rd SW Suite 200,"Huntsville, AL",35802
Alabama,Legal Services (Birmingham),https://legalservicesalabama.org,(205) 328-3540,1820 7th Ave N #107,"Birmingham, AL",35203
Alabama,Legal Services (Mobile),https://legalservicesalabama.org,(256) 536-9647,104 St Francis St,"Mobile, AL",36602
Alabama,Legal Services (Dothan),https://legalservicesalabama.org,(334) 793-7932,224 W Main St,"Dothan, AL",36303
Alabama,Legal Services (Selma),https://legalservicesalabama.org,(334) 872-1355,801 Alabama Ave # 250,"Selma, AL",36701
Alabama,Legal Services (Tuscaloosa),https://legalservicesalabama.org,(205) 758-7503,2315 9th St,"Tuscaloosa, AL",35401
Arkansas,Legal Aid of Arkansas,http://arlegalservices.org,870-972-9224,714 South Main Street,"Jonesboro, Arkansas",72401
California,Legal Services of Northern California,http://www.lsnc.net,916-551-2150,421 North Oak Street,"Ukiah, CA",95482
California,Legal Aid Foundation of Los Angeles,http://lafla.org,800-399-4529,"634 South Spring Street, suite 400A","Los Angeles, California",90014
California,Lawyers' Committee for Civil Rights- second Chance legal clinic,http://lccr.com,415-543-9444,"131 Steuart Street, Suite 400","San Francisco, California",94105
Colorado,Colorado Legal Services,https://www.coadvocatesforum.org/cls_probono/nwproject/,Northwest Colorado Legal Services Project at 800-521-6968,1000 West 6th Street,"Pueblo, Colorado",81003
Colorado,Colorado Juvenile Defender Center,http://cjdc.org/wp/,303-882-6620,1245 East Colfax Avenue,"Denver, Colorado",80218
Connecticut,Statewide Legal Services,https://slsct.org/volunteer,800-453-3320,"1290 Silas Deane Highway, Suite 3A","Wethersfield, Connecticut",6109
Delaware,Delaware Center for Justice,http://www.dcjustice.org,(302) 658-7174,100 W 10th St Ste 905,"Wilmington, Delaware",19801
Delaware,Apex Program(New Castle County),https://apex.delawareworks.com/contact.php,(302) 333-7605,Wilmington,"New Castle, Delaware",19801
Delaware,Apex Program(Kent/Sussex County),https://apex.delawareworks.com/contact.php,302-233-6462,The Dover Public Library Small Business Center,"Kent/Sussex, Delaware",19801
District of Columbia,Law Students Court,https://dclawstudents.org/expunge-dc/,202-607-2721 202.638.4798,4340 Connecticut Aveune NW,"Washington, DC",20008
District of Columbia,Public Defender Service for the District of Columba,http://www.pdsdc.org/need-legal-advice/record-sealing-and-expungement,202-628-1200,"633 Indiana Avenue, 2nd fl N.W.","Washington, DC",20004
Florida,Three Rivers Legal Services,https://www.trls.org/Low-Income-Taxpayer-Clinic/,352-372-0519 or 866-256-8091,"901 NW 8th Avenue, Suite D-5","Gainesville, Florida",32608
Georgia,Georgia Justice Project- Criminal Records Program,https://www.gjp.org/programs/criminal-records/faqs/faqs-expungements/,(404) 827-0027,438 Edgewood Avenue,"Atlanta, Georgia",30312
Illinois,Cabrini Green Legal Aid,www.cgla.net,312-738-2452,740 North Milwalkee Avenue,"Chicago, Illinois",60642
Illinois,Chicago Legal Clinic,www.clclaw.org,773-731-1762,2938 E. 91st Street,"Chicago, IL",60617
Illinois,Legal Assistance Foundation of Metropolitan Chicago,www.lafchicago.org,312-341-1070,"120 South LaSalle Street, Suite 900","Chicago, Illinois",60603
Illinois,James B Moran Center for Youth Advocacy,www.moran-center.org,847-942-1410,1123 Emerson Street,Evanston IL,60201
Illinois,Illinois Courts,http://www.illinoiscourts.gov/forms/approved/expungement/expungement.asp,708-371-4930,Fifth Municipal District Courthouse 10220 South 76th Avenue,"Bridgeview, Illinois",60453
Indiana,Neighborhood Christian Legal Clinic,http://www.nclegalclinic.org/Services/ProjectGRACE.aspx,317.429.4131 ext. 164,"200 E. Washington Street, Room B2","Indianapolis, Indiana",46204
Indiana,Volunteer Lawyer Program of Northeast Indiania,http://www.vlpnei.org,260-407-0917 Monday-Friday,111 West Wayne Street,"Fort Wayne, IN",46802
Indiana,Indianapolis Legal Aid Society,http://www.indylas.org,317-635-9538,615 Alabama Street #122,"Indianapolis, Indiana",46204
Indiana,"Indiana Legal Services, Inc.",https://www.indianalegalservices.org/node/762/limiting-who-can-see-your-criminal-record,317-631-9410,151 North Delaware Street,"Indianapolis, Indiana",46204
Iowa,Upper Midwest Pension Rights Project,https://www.iowalegalaid.org/find-legal-help,1-800-992-8161,1111 9th Street Suite 230,"Des Moines, IA",50314
Iowa,Iowa Legal Aid,https://www.iowalegalaid.org/find-legal-help,1-800-532-1275,"1111 9th Street, Suite 230","Des Moines, IA",50314
Iowa,Iowa Legal Aid (Ottumwa),https://www.iowalegalaid.org/find-legal-help,1-800-532-1279,112 East 3rd Street,"Ottumwa, IA",52501
Iowa,Muscatine Legal Services,http://muscatinelegal.com/,563-263-8663,122 East 2nd Street,"Muscatine, IA",52761
Iowa,Iowa Legal Aid (Iowa City),https://www.iowalegalaid.org/find-legal-help,1-800-532-1275,1700 South 1st Avenue Suite 10,"Iowa City, IA",52240
Iowa,Iowa Legal Aid (Mason City),https://www.iowalegalaid.org/find-legal-help,1-800-532-1276,202 1st Street Suite 112,"Mason City, IA",50401
Iowa,Iowa Legal Aid (Cedar Rapids),https://www.iowalegalaid.org/find-legal-help,1-800-532-1275,317 7th Avenue SE Suite 404,"Cedar Rapids, IA",52401
Iowa,Iowa Legal Aid (Sioux City),https://www.iowalegalaid.org/find-legal-help,1-800-532-1278,507 7th St. Suite 402,"Sioux City, IA",51101
Iowa,Iowa Legal Aid (Council Bluffs),https://www.iowalegalaid.org/find-legal-help,1-800-532-1275,532 1st Avenue Suite 300,"Council Bluffs, IA",51503
Iowa,Iowa Legal Aid (Waterloo),https://www.iowalegalaid.org/find-legal-help,1-800-532-1275,607 Sycamore Street Suite 304,"Waterloo, IA",50703
Iowa,HELP Regional Office of Iowa Legal Aid,https://www.iowalegalaid.org/find-legal-help,(800) 532-1275,736 Federal Street Suite 2309,"Davenport, IA",52803
Iowa,Iowa Legal Aid (Dubuque),https://www.iowalegalaid.org/find-legal-help,1-800-532-1277,799 Main Street Suite 280,"Dubuque, IA",52001
Iowa,Legal Aid Society of Story County,https://www.iowalegalaid.org/find-legal-help,(515) 382-2471,937 6th Street,"Nevada, IA",50201
Kansas,Kansas Legal Services,http://www.kansaslegalservices.org,785-233-2068,712 South Kansas Avenue Suite 200,"Topeka, Kansas",66603
Kentucky,Legal Aid Society,http://www.laslou.org/,502-584-1254,416 West Muhammad Ali Boulavard Suite 300,"Louisville, Kentucky",40202
